City,Commute_Route,Commute_Distance_miles,Commute_Time_mins,Mode_of_Commute,Daily_Cost,Monthly_Cost,Cost_per_Mile,Value_Tier,Carbon_Impact,Best_Value_Rank,Worst_Value_Reason,Avg_Delay_mins,Commute_Type
Birmingham,Solihull - Birmingham,20,26,Driving,8.18,179.96,0.41,Moderate,6.5,2,Moderate fare,6,Intercity
Nottingham,Beeston - Nottingham,39.6,83,Driving,14.42,317.24,0.36,Cost-Effective,11.7,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,5.8,10,Train,15.5,341,2.67,Expensive,11,3,Congestion,0,Urban
London,Slough - London,26,33,Train,22.96,505.12,0.88,Expensive,10.9,4,Long duration,17,Intercity
London,Croydon - London,29.5,39,Train,20.99,461.78,0.71,Expensive,12.6,4,High fare,10,Intercity
Edinburgh,Dunfermline - Edinburgh,36.4,47,Train,15.99,351.78,0.44,Moderate,13.1,4,Mild delays,10,Intercity
Bristol,Weston-super-Mare - Bristol,28.7,87,Bus,3.02,66.44,0.11,Cost-Effective,2.3,1,N/A,9,Intercity
Liverpool,Birkenhead - Liverpool,43,166,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,43.6,79,Driving,7.37,162.14,0.17,Cost-Effective,11.5,1,N/A,11,Intercity
Sheffield,Rotherham - Sheffield,22.6,43,Train,13.66,300.52,0.6,Moderate,13,2,Mild delays,12,Intercity
Sheffield,Chesterfield - Sheffield,6.4,10,Train,29.88,657.36,4.67,Expensive,11.1,4,High fare,14,Urban
Liverpool,Birkenhead - Liverpool,25.8,42,Train,26.4,580.8,1.02,Expensive,9.8,5,High fare,9,Intercity
Birmingham,Solihull - Birmingham,43.8,67,Train,37.66,828.52,0.86,Expensive,8.9,5,Congestion,4,Intercity
Manchester,Altrincham - Manchester,12.8,36,Driving,6.63,145.86,0.52,Moderate,8.6,4,Moderate fare,9,Suburban
Sheffield,Chesterfield - Sheffield,20.5,38,Train,20.7,455.4,1.01,Expensive,10.8,4,Long duration,15,Intercity
Edinburgh,Dunfermline - Edinburgh,26.7,101,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Stockport - Manchester,10.6,21,Train,31.87,701.14,3.01,Expensive,15.7,5,Long duration,1,Suburban
Liverpool,St Helens - Liverpool,8,26,Driving,11.02,242.44,1.38,Expensive,6.9,5,Long duration,1,Urban
Leeds,Bradford - Leeds,39.5,60,Driving,6.89,151.58,0.17,Cost-Effective,8.5,1,N/A,0,Intercity
Birmingham,Wolverhampton - Birmingham,18,37,Train,31.89,701.58,1.77,Expensive,14.4,5,High fare,11,Intercity
Sheffield,Chesterfield - Sheffield,40.5,50,Train,31.4,690.8,0.78,Expensive,15.6,5,Congestion,14,Intercity
Sheffield,Chesterfield - Sheffield,27.5,40,Train,33.13,728.86,1.2,Expensive,12.9,5,Long duration,16,Intercity
Edinburgh,Livingston - Edinburgh,25.9,47,Driving,7.51,165.22,0.29,Cost-Effective,6.3,2,N/A,15,Intercity
London,Reading - London,30.5,60,Driving,10.4,228.8,0.34,Cost-Effective,10.1,2,N/A,17,Intercity
Manchester,Stockport - Manchester,41.3,56,Train,32.67,718.74,0.79,Expensive,10.3,5,Congestion,7,Intercity
Nottingham,Beeston - Nottingham,8.1,10,Train,18.69,411.18,2.31,Expensive,9.6,5,High fare,12,Suburban
Birmingham,Wolverhampton - Birmingham,42.2,134,Bus,7.23,159.06,0.17,Expensive,5.2,4,Congestion,17,Intercity
Glasgow,East Kilbride - Glasgow,12.5,30,Train,36.78,809.16,2.94,Expensive,13.4,4,Long duration,3,Suburban
Manchester,Altrincham - Manchester,37.3,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Glasgow,Paisley - Glasgow,9.4,44,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Manchester,Stockport - Manchester,14.1,69,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Birmingham,Solihull - Birmingham,39.4,113,Bus,2.04,44.88,0.05,Expensive,4,3,Congestion,4,Intercity
Nottingham,West Bridgford - Nottingham,21.7,28,Train,20.13,442.86,0.93,Expensive,17.4,3,High fare,20,Intercity
Edinburgh,Livingston - Edinburgh,17.9,32,Driving,13.26,291.72,0.74,Expensive,11.6,4,Congestion,3,Intercity
Birmingham,Wolverhampton - Birmingham,19.5,38,Driving,10.21,224.62,0.52,Moderate,8.3,2,Moderate fare,1,Intercity
Glasgow,East Kilbride - Glasgow,6.5,10,Train,28.29,622.38,4.35,Expensive,13,5,Long duration,0,Urban
Sheffield,Rotherham - Sheffield,7.1,19,Driving,9.35,205.7,1.32,Expensive,7.2,5,High fare,16,Urban
Manchester,Altrincham - Manchester,24.6,46,Driving,19.8,435.6,0.8,Expensive,7.9,4,High fare,19,Intercity
Manchester,Stockport - Manchester,31.9,40,Train,31.85,700.7,1,Expensive,11.7,4,Long duration,10,Intercity
Sheffield,Chesterfield - Sheffield,30.3,53,Train,29.01,638.22,0.96,Expensive,13.4,3,High fare,18,Intercity
Glasgow,East Kilbride - Glasgow,8.6,18,Bus,3.12,68.64,0.36,Cost-Effective,2.2,2,N/A,17,Suburban
London,Slough - London,28.6,68,Driving,15.49,340.78,0.54,Moderate,6.1,2,Mild delays,17,Intercity
Birmingham,Solihull - Birmingham,25.5,108,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,12,17,Bus,6.15,135.3,0.51,Moderate,3.5,4,Moderate fare,6,Suburban
Leeds,Bradford - Leeds,42.5,80,Driving,7.59,166.98,0.18,Cost-Effective,13.4,2,N/A,6,Intercity
Edinburgh,Livingston - Edinburgh,40.1,51,Train,17.74,390.28,0.44,Moderate,14.6,4,Moderate fare,11,Intercity
Sheffield,Chesterfield - Sheffield,37.7,70,Train,17.26,379.72,0.46,Moderate,8.9,4,Mild delays,14,Intercity
Glasgow,Paisley - Glasgow,40.9,160,Bus,7.4,162.8,0.18,Expensive,4.5,4,Long duration,16,Intercity
Liverpool,Birkenhead - Liverpool,18.6,75,Bus,7.38,162.36,0.4,Cost-Effective,5.5,1,N/A,13,Intercity
Birmingham,Wolverhampton - Birmingham,36.2,136,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Liverpool,Birkenhead - Liverpool,30.7,48,Train,10.28,226.16,0.33,Cost-Effective,9,1,N/A,20,Intercity
Leeds,Wakefield - Leeds,31.5,107,Bus,2.03,44.66,0.06,Expensive,2.6,5,High fare,15,Intercity
Liverpool,Birkenhead - Liverpool,26.9,50,Train,16.73,368.06,0.62,Moderate,15.1,3,Mild delays,6,Intercity
Glasgow,Paisley - Glasgow,14.5,35,Train,19.76,434.72,1.36,Expensive,15.5,4,Long duration,4,Suburban
Manchester,Stockport - Manchester,31,128,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Liverpool,Birkenhead - Liverpool,27.7,97,Bus,2.56,56.32,0.09,Expensive,3.5,4,Congestion,11,Intercity
London,Reading - London,15.6,59,Bus,5.79,127.38,0.37,Cost-Effective,5.2,2,N/A,7,Intercity
Manchester,Altrincham - Manchester,25.1,35,Train,27.31,600.82,1.09,Expensive,12.9,5,High fare,14,Intercity
Nottingham,West Bridgford - Nottingham,12.8,10,Train,10.73,236.06,0.84,Expensive,14.5,3,Long duration,6,Suburban
Sheffield,Chesterfield - Sheffield,12.1,35,Driving,19.17,421.74,1.58,Expensive,13.6,4,Long duration,7,Suburban
Liverpool,St Helens - Liverpool,41.6,165,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,43.7,96,Driving,19.49,428.78,0.45,Expensive,12.8,3,High fare,7,Intercity
Birmingham,Wolverhampton - Birmingham,16.8,35,Train,19.51,429.22,1.16,Expensive,9.7,3,Long duration,7,Intercity
London,Reading - London,27.3,37,Train,38.08,837.76,1.39,Expensive,15,4,High fare,17,Intercity
Edinburgh,Dunfermline - Edinburgh,27.8,44,Train,39.7,873.4,1.43,Expensive,9.4,4,Long duration,12,Intercity
Birmingham,Wolverhampton - Birmingham,25.7,41,Driving,18.28,402.16,0.71,Expensive,11.9,5,Long duration,9,Intercity
Liverpool,Birkenhead - Liverpool,32.9,54,Driving,10.11,222.42,0.31,Cost-Effective,12.5,2,N/A,12,Intercity
Birmingham,Solihull - Birmingham,37.4,163,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
